City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-12-01 17:20:58,-54.8,-68.3,53.26,47,40,13.8
1,Punta Arenas,CL,2021-12-01 17:12:16,-53.15,-70.9167,55.51,38,40,23.02
2,Torbay,CA,2021-12-01 17:20:59,47.6666,-52.7314,42.67,70,75,16.11
3,Dikson,RU,2021-12-01 17:12:04,73.5069,80.5464,-8.41,97,100,16.08
4,Bredasdorp,ZA,2021-12-01 17:20:59,-34.5322,20.0403,63.28,68,94,12.39
5,Bengkulu,ID,2021-12-01 17:20:59,-3.8004,102.2655,74.91,87,65,3.62
6,Rikitea,PF,2021-12-01 17:21:00,-23.1203,-134.9692,76.03,70,1,19.3
7,Paros,GR,2021-12-01 17:21:00,37.0833,25.15,58.59,51,0,8.05
8,Assiniboia,CA,2021-12-01 17:21:01,49.6334,-105.9845,46.31,57,84,18.41
9,Butaritari,KI,2021-12-01 17:21:01,3.0707,172.7902,81.18,76,80,9.51
10,Puerto Ayora,EC,2021-12-01 17:13:22,-0.7393,-90.3518,76.96,76,78,8.86
11,Saldanha,ZA,2021-12-01 17:13:25,-33.0117,17.9442,62.42,77,49,24.67
12,Lebu,CL,2021-12-01 17:12:18,-37.6167,-73.65,59.85,64,100,6.13
13,Vaini,TO,2021-12-01 17:21:02,-21.2,-175.2,77.16,83,75,8.05
14,Mahibadhoo,MV,2021-12-01 17:21:02,3.7833,72.9667,82.2,78,48,7.83
15,Tuatapere,NZ,2021-12-01 17:12:16,-46.1333,167.6833,49.82,93,5,2.26
16,General Roca,AR,2021-12-01 17:21:03,-39.0333,-67.5833,88.63,13,13,14.16
17,Maningrida,AU,2021-12-01 17:21:03,-12.0667,134.2667,83.53,75,20,4.63
18,Soure,BR,2021-12-01 17:21:04,-0.7167,-48.5233,86.13,65,97,11.25
19,Khatanga,RU,2021-12-01 17:14:42,71.9667,102.5,-30.59,99,99,3.89
20,Vilhena,BR,2021-12-01 17:21:04,-12.7406,-60.1458,71.82,100,75,4.61
21,Den Helder,NL,2021-12-01 17:21:05,52.9599,4.7593,46.38,66,75,21.0
22,Port Lincoln,AU,2021-12-01 17:21:05,-34.7333,135.8667,57.96,82,69,12.01
23,Hambantota,LK,2021-12-01 17:21:05,6.1241,81.1185,77.65,81,5,5.59
24,East London,ZA,2021-12-01 17:21:06,-33.0153,27.9116,70.74,78,20,16.11
25,Menongue,AO,2021-12-01 17:21:07,-14.6585,17.691,73.26,57,93,3.78
26,Avarua,CK,2021-12-01 17:12:03,-21.2078,-159.775,77.05,94,75,10.36
27,Souillac,MU,2021-12-01 17:21:07,-20.5167,57.5167,77.38,78,40,8.05
28,Vila Do Maio,CV,2021-12-01 17:21:07,15.1333,-23.2167,75.99,66,100,18.97
29,Hithadhoo,MV,2021-12-01 17:14:50,-0.6,73.0833,82.15,72,100,2.26
30,Codrington,AU,2021-12-01 17:16:07,-38.2667,141.9667,54.91,96,1,1.68
31,Grenfell,AU,2021-12-01 17:21:08,-33.9,148.1667,59.32,81,54,3.36
32,Carnarvon,AU,2021-12-01 17:18:19,-24.8667,113.6333,69.87,78,75,19.57
33,Saint-Philippe,RE,2021-12-01 17:21:09,-21.3585,55.7679,76.59,74,8,10.8
34,Tiksi,RU,2021-12-01 17:21:09,71.6872,128.8694,-24.39,99,98,5.39
35,Tasiilaq,GL,2021-12-01 17:21:09,65.6145,-37.6368,20.64,94,100,26.02
36,Bluff,NZ,2021-12-01 17:21:10,-46.6,168.3333,50.81,91,11,3.47
37,Albany,US,2021-12-01 17:17:37,42.6001,-73.9662,42.46,69,99,8.63
38,Sisimiut,GL,2021-12-01 17:21:10,66.9395,-53.6735,37.11,92,99,35.86
39,Mujiayingzi,CN,2021-12-01 17:21:11,42.1167,118.7833,23.47,57,0,10.67
40,Turan,VN,2021-12-01 17:19:07,16.0678,108.2208,67.98,88,75,2.3
41,Aswan,EG,2021-12-01 17:21:11,24.0934,32.907,76.3,29,0,17.27
42,Mahebourg,MU,2021-12-01 17:14:43,-20.4081,57.7,77.29,78,40,8.05
43,Wanaka,NZ,2021-12-01 17:21:12,-44.7,169.15,57.11,89,32,3.78
44,Barrow,US,2021-12-01 17:13:30,71.2906,-156.7887,-18.38,76,1,8.05
45,Gimli,CA,2021-12-01 17:21:12,50.6336,-96.9907,32.43,93,100,10.36
46,Hobart,AU,2021-12-01 17:21:13,-42.8794,147.3294,60.03,83,90,4.61
47,New Norfolk,AU,2021-12-01 17:21:13,-42.7826,147.0587,59.67,72,97,1.01
48,Cabo San Lucas,MX,2021-12-01 17:13:23,22.8909,-109.9124,82.51,60,1,3.44
49,Charters Towers,AU,2021-12-01 17:22:14,-20.1,146.2667,77.22,77,3,7.02
50,Port Keats,AU,2021-12-01 17:22:14,-14.25,129.55,84.43,75,100,10.45
51,Kruisfontein,ZA,2021-12-01 17:22:15,-34.0033,24.7314,69.89,84,6,6.69
52,Mataura,NZ,2021-12-01 17:22:15,-46.1927,168.8643,50.49,99,26,2.15
53,Oranjestad,AW,2021-12-01 17:22:16,12.524,-70.027,84.15,70,75,16.11
54,Ust-Ishim,RU,2021-12-01 17:22:16,57.6935,71.1665,33.37,93,100,9.55
55,Port Alfred,ZA,2021-12-01 17:22:16,-33.5906,26.891,69.6,83,61,21.21
56,Hilo,US,2021-12-01 17:22:17,19.7297,-155.09,74.28,91,20,6.91
57,Alpena,US,2021-12-01 17:22:17,45.0617,-83.4327,34.95,75,90,6.91
58,Ambon,ID,2021-12-01 17:16:04,-3.6954,128.1814,77.14,88,40,6.91
59,Pascagoula,US,2021-12-01 17:22:18,30.3658,-88.5561,72.05,59,1,0.0
60,Hoquiam,US,2021-12-01 17:22:18,46.9809,-123.8893,53.58,97,90,12.66
61,Wahiawa,US,2021-12-01 17:22:19,21.5028,-158.0236,72.86,82,40,8.86
62,Yellowknife,CA,2021-12-01 17:22:19,62.456,-114.3525,-6.59,88,90,9.22
63,Thompson,CA,2021-12-01 17:22:20,55.7435,-97.8558,-0.24,85,90,13.8
64,Somerset,US,2021-12-01 17:22:01,40.5668,-74.5496,51.12,50,1,5.01
65,Puerto Colombia,CO,2021-12-01 17:22:20,10.9878,-74.9547,86.09,74,30,3.69
66,Georgetown,MY,2021-12-01 17:20:12,5.4112,100.3354,80.53,91,20,3.44
67,Leningradskiy,RU,2021-12-01 17:22:21,69.3833,178.4167,-24.45,93,74,8.1
68,Cherskiy,RU,2021-12-01 17:18:18,68.75,161.3,-21.75,98,100,5.12
69,Abalak,RU,2021-12-01 17:22:21,58.1286,68.5944,34.27,94,100,10.85
70,Buraydah,SA,2021-12-01 17:22:22,26.326,43.975,68.45,15,22,5.93
71,Khorixas,NA,2021-12-01 17:22:22,-20.3667,14.9667,82.94,18,72,22.12
72,Namatanai,PG,2021-12-01 17:13:30,-3.6667,152.4333,79.54,80,91,5.91
73,Palana,RU,2021-12-01 17:22:23,59.1167,159.9667,17.17,87,100,12.8
74,Maceio,BR,2021-12-01 17:22:23,-9.6658,-35.7353,90.84,55,20,19.57
75,Faanui,PF,2021-12-01 17:22:23,-16.4833,-151.75,80.91,76,100,21.5
76,La Ronge,CA,2021-12-01 17:16:02,55.1001,-105.2842,17.85,86,90,9.22
77,Clyde River,CA,2021-12-01 17:22:24,70.4692,-68.5914,7.03,85,100,31.07
78,Havre-Saint-Pierre,CA,2021-12-01 17:16:00,50.2334,-63.5986,26.6,54,90,4.61
79,Victoria,HK,2021-12-01 17:19:29,22.2855,114.1577,62.58,41,43,5.01
80,Ribeira Grande,PT,2021-12-01 17:14:44,38.5167,-28.7,66.6,72,75,3.44
81,Geraldton,AU,2021-12-01 17:22:25,-28.7667,114.6,63.01,67,75,14.97
82,Vostok,RU,2021-12-01 17:16:15,46.4856,135.8833,-2.27,96,100,8.86
83,Atuona,PF,2021-12-01 17:22:25,-9.8,-139.0333,78.4,78,35,23.64
84,Bairiki,KI,2021-12-01 17:22:26,1.3292,172.9752,81.55,78,84,14.79
85,Kholodnyy,RU,2021-12-01 17:22:26,62.7167,147.95,-50.33,100,85,2.46
86,Araouane,ML,2021-12-01 17:22:27,18.9048,-3.5265,85.1,9,27,6.62
87,Svoge,BG,2021-12-01 17:22:27,42.9667,23.35,37.06,92,45,4.38
88,Cape Town,ZA,2021-12-01 17:22:27,-33.9258,18.4232,66.34,57,90,17.98
89,Rodrigues Alves,BR,2021-12-01 17:22:28,-7.738,-72.6509,88.0,82,93,4.56
90,Padang,ID,2021-12-01 17:22:28,-0.9492,100.3543,78.85,86,22,2.89
91,Praia,CV,2021-12-01 17:22:17,14.9215,-23.5087,75.74,64,75,23.02
92,Uyskoye,RU,2021-12-01 17:22:29,54.3775,60.0047,35.17,82,90,17.43
93,Castro,BR,2021-12-01 17:22:29,-24.7911,-50.0119,83.59,33,0,3.85
94,Chokurdakh,RU,2021-12-01 17:22:29,70.6333,147.9167,-22.41,100,97,7.78
95,Atascadero,US,2021-12-01 17:22:30,35.4894,-120.6707,70.68,33,0,4.27
96,Nyamati,IN,2021-12-01 17:23:31,14.15,75.5833,70.84,88,94,4.45
97,Baghdad,IQ,2021-12-01 17:23:31,33.3406,44.4009,60.71,51,100,3.44
98,Bambous Virieux,MU,2021-12-01 17:23:32,-20.3428,57.7575,77.25,78,40,8.05
99,Port Elizabeth,ZA,2021-12-01 17:23:32,-33.918,25.5701,72.1,77,0,11.5
100,Hermanus,ZA,2021-12-01 17:23:32,-34.4187,19.2345,64.9,73,85,13.4
101,Puerto Del Rosario,ES,2021-12-01 17:23:33,28.5004,-13.8627,67.75,68,20,10.36
102,Turukhansk,RU,2021-12-01 17:23:33,65.8167,87.9833,-6.29,87,100,6.87
103,Jamestown,US,2021-12-01 17:23:34,42.097,-79.2353,40.08,75,75,10.36
104,Luderitz,NA,2021-12-01 17:23:34,-26.6481,15.1594,67.87,62,0,25.3
105,Coahuayana,MX,2021-12-01 17:23:34,18.7333,-103.6833,83.68,58,100,0.63
106,Busselton,AU,2021-12-01 17:23:35,-33.65,115.3333,51.08,88,0,9.4
107,Sibolga,ID,2021-12-01 17:23:35,1.7427,98.7792,75.52,87,4,3.38
108,Dmytrivka,UA,2021-12-01 17:23:36,45.9717,28.9864,39.36,60,75,3.69
109,Kysyl-Syr,RU,2021-12-01 17:23:36,63.8986,122.7617,-20.36,99,97,5.55
110,Abu Samrah,SY,2021-12-01 17:23:36,35.3029,37.1841,54.82,64,25,14.7
111,Qaanaaq,GL,2021-12-01 17:23:37,77.484,-69.3632,9.82,84,100,4.12
112,Bethel,US,2021-12-01 17:23:37,41.3712,-73.414,48.04,54,1,3.0
113,Provideniya,RU,2021-12-01 17:23:38,64.3833,-173.3,-3.48,66,0,5.03
114,Vanavara,RU,2021-12-01 17:23:38,60.34,102.2797,-11.92,99,81,3.65
115,Kapaa,US,2021-12-01 17:23:38,22.0752,-159.319,77.32,84,75,12.66
116,Ponta Delgada,PT,2021-12-01 17:23:39,37.7333,-25.6667,68.5,82,40,13.8
117,Praya,CV,2021-12-01 17:23:39,14.9215,-23.5087,75.74,64,75,23.02
118,Samarai,PG,2021-12-01 17:23:11,-10.6167,150.6667,82.31,83,97,10.98
119,Nikolskoye,RU,2021-12-01 17:23:40,59.7035,30.7861,19.29,92,76,5.75
120,Bonthe,SL,2021-12-01 17:23:40,7.5264,-12.505,82.36,73,59,6.98
121,San Jose,US,2021-12-01 17:21:55,37.3394,-121.895,66.42,59,20,3.44
122,Saint Anthony,US,2021-12-01 17:16:03,45.0205,-93.218,42.15,91,20,1.01
123,Dhrangadhra,IN,2021-12-01 17:23:41,22.9833,71.4667,68.85,63,100,13.0
124,Arawa,PG,2021-12-01 17:23:41,-6.2132,155.5367,77.65,89,98,1.61
125,Fengcheng,CN,2021-12-01 17:23:41,40.4536,124.0717,19.47,86,4,1.28
126,Beloha,MG,2021-12-01 17:23:42,-25.1667,45.05,75.67,84,8,12.82
127,Yerbogachen,RU,2021-12-01 17:23:42,61.2767,108.0108,-13.97,99,78,4.14
128,Okhotsk,RU,2021-12-01 17:23:43,59.3833,143.3,-11.7,88,99,21.9
129,Upernavik,GL,2021-12-01 17:14:24,72.7868,-56.1549,22.08,67,100,4.56
130,Bam,IR,2021-12-01 17:23:43,29.106,58.357,60.76,32,0,2.08
131,Maldonado,UY,2021-12-01 17:23:44,-34.6667,-54.9167,67.39,50,40,10.16
132,Mirnyy,RU,2021-12-01 17:23:44,62.5353,113.9611,-16.69,97,93,3.31
133,Klaksvik,FO,2021-12-01 17:23:44,62.2266,-6.589,32.92,70,100,33.49
134,Tuktoyaktuk,CA,2021-12-01 17:23:45,69.4541,-133.0374,-27.4,75,20,2.3
135,Tikapur,NP,2021-12-01 17:23:46,28.5,81.1333,62.55,68,100,2.46
136,Husavik,IS,2021-12-01 17:16:08,66.0449,-17.3389,21.11,90,100,10.36
137,Fortuna,US,2021-12-01 17:23:46,40.5982,-124.1573,50.34,93,1,5.75
138,Rocha,UY,2021-12-01 17:23:46,-34.4833,-54.3333,70.74,50,30,10.4
139,Jumla,NP,2021-12-01 17:23:47,29.2747,82.1838,50.95,33,99,3.49
140,Sobolevo,RU,2021-12-01 17:24:47,54.4299,31.8996,21.83,93,99,10.04
141,Lagoa,PT,2021-12-01 17:24:48,39.05,-27.9833,63.55,82,49,13.98
142,La Union,PE,2021-12-01 17:24:48,-5.4,-80.75,81.61,46,100,7.74
143,Los Llanos De Aridane,ES,2021-12-01 17:24:49,28.6585,-17.9182,63.12,72,40,5.01
144,Mount Gambier,AU,2021-12-01 17:24:49,-37.8333,140.7667,55.31,100,90,8.05
145,Kushima,JP,2021-12-01 17:24:49,31.4583,131.2333,41.58,78,2,7.9
146,Lompoc,US,2021-12-01 17:24:50,34.6391,-120.4579,83.08,31,1,6.91
147,Camabatela,AO,2021-12-01 17:24:50,-8.1881,15.375,64.71,97,85,3.38
148,Cidreira,BR,2021-12-01 17:24:51,-30.1811,-50.2056,69.98,69,71,13.67
149,Saint-Pierre,RE,2021-12-01 17:24:51,-21.3393,55.4781,76.68,69,0,11.5
150,Quatre Cocos,MU,2021-12-01 17:24:51,-20.2078,57.7625,77.11,76,46,12.39
151,Toora-Khem,RU,2021-12-01 17:24:52,52.4675,96.11,-3.19,99,45,1.36
152,Truckee,US,2021-12-01 17:24:52,39.328,-120.1833,56.97,49,2,1.99
153,Valledupar,CO,2021-12-01 17:22:25,10.4631,-73.2532,89.11,47,85,7.34
154,Henties Bay,NA,2021-12-01 17:24:53,-22.116,14.2845,64.85,81,3,13.15
155,Hasaki,JP,2021-12-01 17:24:53,35.7333,140.8333,48.6,48,19,14.7
156,Esperance,AU,2021-12-01 17:24:54,-33.8667,121.9,55.24,78,43,7.85
157,Kuching,MY,2021-12-01 17:19:57,1.55,110.3333,75.42,94,20,2.3
158,Saskylakh,RU,2021-12-01 17:24:54,71.9167,114.0833,-33.38,99,100,1.52
159,Yar-Sale,RU,2021-12-01 17:24:55,66.8333,70.8333,1.36,96,100,10.96
160,Murygino,RU,2021-12-01 17:24:55,58.7383,49.4582,19.74,98,90,2.84
161,Balkanabat,TM,2021-12-01 17:24:55,39.5108,54.3671,69.93,28,84,7.18
162,Meadow Lake,US,2021-12-01 17:24:56,34.8014,-106.5436,60.4,33,29,8.72
163,Fountain Hills,US,2021-12-01 17:24:53,33.6117,-111.7174,75.24,21,1,7.0
164,Yulara,AU,2021-12-01 17:18:03,-25.2406,130.9889,78.64,24,0,8.05
165,Berezniki,RU,2021-12-01 17:24:57,59.4152,56.8124,37.83,100,100,3.56
166,Kaitangata,NZ,2021-12-01 17:24:57,-46.2817,169.8464,48.65,97,37,3.24
167,Moron,AR,2021-12-01 17:20:55,-34.6534,-58.6198,72.81,64,98,3.0
168,Vangaindrano,MG,2021-12-01 17:24:58,-23.35,47.6,74.71,92,75,7.52
169,Roald,NO,2021-12-01 17:24:58,62.5833,6.1333,32.14,93,40,5.75
170,Mar Del Plata,AR,2021-12-01 17:24:59,-38.0023,-57.5575,62.62,80,0,15.99
171,Zhigansk,RU,2021-12-01 17:24:59,66.7697,123.3711,-38.47,100,100,5.95
172,Hofn,IS,2021-12-01 17:24:59,64.2539,-15.2082,21.22,63,0,6.91
173,Chicama,PE,2021-12-01 17:25:00,-7.8447,-79.1469,66.74,59,55,10.33
174,Colan,PA,2021-12-01 17:25:00,7.5873,-80.2296,83.01,82,100,4.81
175,Isla Vista,US,2021-12-01 17:25:01,34.4133,-119.861,85.35,17,0,3.89
176,Hailar,CN,2021-12-01 17:25:01,49.2,119.7,22.01,78,100,20.83
177,Soe,ID,2021-12-01 17:16:13,-9.8607,124.284,67.8,90,93,3.24
178,Cordoba,AR,2021-12-01 17:24:09,-31.4135,-64.1811,82.24,64,20,10.36
179,Airai,TL,2021-12-01 17:25:02,-8.9266,125.4092,61.86,88,98,1.16
180,Katsuura,JP,2021-12-01 17:22:59,35.1333,140.3,51.12,62,25,5.23
181,Chateau-Gontier,FR,2021-12-01 17:25:02,47.8333,-0.7,46.62,83,54,10.85
182,Lodwar,KE,2021-12-01 17:25:03,3.1191,35.5973,86.9,39,98,19.39
183,Erzin,TR,2021-12-01 17:25:03,36.9559,36.2,56.12,53,34,2.59
184,Solnechnyy,RU,2021-12-01 17:25:04,50.7214,136.6319,10.99,88,100,21.74
185,Verkhnevilyuysk,RU,2021-12-01 17:16:09,63.4453,120.3167,-26.97,100,94,3.27
186,Santa Isabel Do Rio Negro,BR,2021-12-01 17:26:04,-0.4139,-65.0192,85.73,72,70,1.9
187,Cockburn Town,TC,2021-12-01 17:26:05,21.4612,-71.1419,79.75,74,4,13.33
188,Yumen,CN,2021-12-01 17:26:05,40.2833,97.2,22.37,39,0,3.47
